Voltage (V), Current (A), Active Power (Watt), Accumulated Energy (Watt-Hour), Elapsed Time (Seconds)
9.91e+037,	9.91e+037,	9.91e+037,	0,	0
0.000715523,	1.27268e-007,	-2.50186e-008,	-6.94962e-012,	1
0.000688293,	1.38628e-007,	-2.35654e-008,	-1.34956e-011,	2
0.000111411,	-1.95198e-007,	-2.36007e-008,	-2.00513e-011,	3
0.000693509,	1.32061e-007,	-2.57825e-008,	-2.72131e-011,	4
8.8042e-005,	-2.08185e-007,	-2.51294e-008,	-3.41935e-011,	5
0.000751491,	6.91932e-008,	-2.32129e-008,	-4.06415e-011,	6
0.000136584,	-1.59265e-007,	-2.36552e-008,	-4.72124e-011,	7
0.000677438,	1.08963e-007,	-2.42552e-008,	-5.395e-011,	8
0.000200094,	-1.32661e-007,	-2.51693e-008,	-6.09415e-011,	9
0.000846105,	1.34011e-007,	-2.33859e-008,	-6.74376e-011,	10
0.00021847,	-1.65935e-007,	-2.48339e-008,	-7.43359e-011,	11
0.00075707,	4.68284e-008,	-2.42832e-008,	-8.10812e-011,	12
0.000218655,	-1.48948e-007,	-2.5443e-008,	-8.81487e-011,	13
0.000769801,	9.37032e-008,	-2.41308e-008,	-9.48517e-011,	14
0.000135113,	-2.0403e-007,	-2.5337e-008,	-1.0189e-010,	15
0.000767079,	7.56432e-008,	-2.39861e-008,	-1.08553e-010,	16
0.000176812,	-1.7584e-007,	-2.5504e-008,	-1.15637e-010,	17
0.000715598,	1.24116e-007,	-2.38689e-008,	-1.22267e-010,	18
0.000183306,	-1.95512e-007,	-2.48216e-008,	-1.29162e-010,	19
0.000713058,	1.13483e-007,	-2.37634e-008,	-1.35763e-010,	20
0.000105829,	-1.6092e-007,	-2.46266e-008,	-1.42604e-010,	21
0.000723415,	1.55789e-007,	-2.48481e-008,	-1.49506e-010,	22
8.32442e-005,	-2.10367e-007,	-2.41515e-008,	-1.56215e-010,	23
0.000695989,	1.02098e-007,	-2.35255e-008,	-1.6275e-010,	24
0.000128957,	-1.52074e-007,	-2.4767e-008,	-1.69629e-010,	25
0.000701311,	1.50883e-007,	-2.35651e-008,	-1.76175e-010,	26
0.000118593,	-2.34892e-007,	-2.39352e-008,	-1.82824e-010,	27
0.000697122,	1.1603e-007,	-2.54349e-008,	-1.89889e-010,	28
7.5289e-005,	-1.60165e-007,	-2.55479e-008,	-1.96986e-010,	29
0.000714449,	2.27044e-008,	-2.41671e-008,	-2.03699e-010,	30
6.94455e-005,	-1.79542e-007,	-2.49239e-008,	-2.03699e-010,	30
